time,.data
2020/04/03/19:47:18.994445,"(-10.0484619140625, -0.369903564453125, -1.082183837890625)"
2020/04/03/19:47:19.098153,"(-10.277114868164062, -0.395050048828125, -0.891845703125)"
2020/04/03/19:47:19.204409,"(-10.49737548828125, -0.6201019287109375, -0.3292083740234375)"
2020/04/03/19:47:19.306847,"(-9.982620239257812, -0.3818817138671875, -0.391448974609375)"
2020/04/03/19:47:19.412031,"(-10.2711181640625, -0.586578369140625, -0.1759796142578125)"
2020/04/03/19:47:19.516713,"(-10.295074462890625, -0.42138671875, -0.51715087890625)"
2020/04/03/19:47:19.620372,"(-10.498580932617188, -0.691925048828125, -0.4034271240234375)"
2020/04/03/19:47:19.726120,"(-9.988616943359375, -0.56982421875, -0.6739654541015625)"
2020/04/03/19:47:19.829195,"(-9.895233154296875, -0.62847900390625, -0.469268798828125)"
2020/04/03/19:47:19.940478,"(-10.16937255859375, -0.5506591796875, -0.274139404296875)"
2020/04/03/19:47:20.037112,"(-9.96826171875, -0.5997467041015625, -0.354339599609375)"
2020/04/03/19:47:20.141482,"(-10.024520874023438, -0.6272735595703125, -0.2358245849609375)"
2020/04/03/19:47:20.247590,"(-10.214859008789062, -0.5793914794921875, -0.153228759765625)"
2020/04/03/19:47:20.351820,"(-10.404006958007812, -0.5518646240234375, -0.6679840087890625)"
2020/04/03/19:47:20.451762,"(-10.166976928710938, -0.7493896484375, -0.38067626953125)"
2020/04/03/19:47:20.555294,"(-10.3585205078125, -0.5159454345703125, -0.59136962890625)"
2020/04/03/19:47:20.658836,"(-9.9742431640625, -0.586578369140625, -0.136474609375)"
2020/04/03/19:47:20.765567,"(-10.245986938476562, -0.85113525390625, -0.243011474609375)"
2020/04/03/19:47:20.867721,"(-9.84136962890625, -0.6416473388671875, -0.1939239501953125)"
2020/04/03/19:47:20.973054,"(-9.678558349609375, -0.697906494140625, -0.4309539794921875)"
2020/04/03/19:47:21.076244,"(-10.092758178710938, -0.8906402587890625, -0.23223876953125)"
2020/04/03/19:47:21.181069,"(-9.902420043945312, -0.611724853515625, -0.38067626953125)"
2020/04/03/19:47:21.285405,"(-10.1968994140625, -0.744598388671875, -0.1987152099609375)"
2020/04/03/19:47:21.391120,"(-9.970657348632812, -0.6476287841796875, -0.31243896484375)"
2020/04/03/19:47:21.494168,"(-9.943115234375, -0.6727752685546875, -0.1244964599609375)"
2020/04/03/19:47:21.599873,"(-10.041275024414062, -0.518341064453125, -0.5686187744140625)"
2020/04/03/19:47:21.702731,"(-9.892837524414062, -0.527923583984375, -0.379486083984375)"
2020/04/03/19:47:21.806491,"(-10.117889404296875, -0.44891357421875, -0.6512298583984375)"
2020/04/03/19:47:21.909345,"(-9.985015869140625, -0.7888946533203125, -0.3100433349609375)"
2020/04/03/19:47:22.011678,"(-10.257949829101562, -0.5351104736328125, -0.4022216796875)"
2020/04/03/19:47:22.116322,"(-10.351333618164062, -0.5722198486328125, -0.3675079345703125)"
2020/04/03/19:47:22.219999,"(-10.57757568359375, -0.5051727294921875, -0.544677734375)"
2020/04/03/19:47:22.325761,"(-10.208877563476562, -0.5159454345703125, -0.2418212890625)"
