time,.x,.y,.z
2020/04/03/19:47:10.898797,0.00262636979371,0.000983519135452,-0.000705872068416
2020/04/03/19:47:10.938756,-0.000182141423861,-0.0020052818095,6.14622827678e-05
2020/04/03/19:47:10.981290,0.000656126364215,-1.13127300034e-05,9.87511964138e-05
2020/04/03/19:47:11.014943,0.00230418035946,-0.00101934690985,-0.000594891817505
2020/04/03/19:47:11.054814,0.00248632455014,0.000985933860039,-0.000656355830119
2020/04/03/19:47:11.095196,-0.00169015060701,-0.000999665016666,0.000705588227424
2020/04/03/19:47:11.135306,-0.000516081352743,8.89734397088e-06,-0.000148269810912
2020/04/03/19:47:11.185134,0.000991926956836,-0.00099672065215,-0.000792396742826
2020/04/03/19:47:11.217247,-0.000140044817761,2.41440018775e-06,4.95181515187e-05
2020/04/03/19:47:11.246793,0.002346279736,0.000988348469872,-0.0006068376786
2020/04/03/19:47:11.276118,0.00135621296565,0.00301384588293,-0.000915320709185
2020/04/03/19:47:11.327374,0.000487823303553,-0.00164781448944,0.000148269578263
2020/04/03/19:47:11.359453,-0.00230417887648,0.0010193378659,0.000594893953174
2020/04/03/19:47:11.390075,-0.00245806483565,0.000652980583426,0.000656354489219
2020/04/03/19:47:11.420743,0.0,0.0,0.0
2020/04/03/19:47:11.450810,-0.0023041788746,0.00101933797459,0.000594893953174
2020/04/03/19:47:11.481198,0.00150800701483,-0.00100562025722,-0.000644127394894
2020/04/03/19:47:11.511780,-0.00150800827221,0.00100561143948,0.000644125665873
2020/04/03/19:47:11.551866,0.000182144389675,0.00200528135305,-6.14619982139e-05
2020/04/03/19:47:11.591925,-2.82557403041e-05,-0.00163891335106,2.303271166e-10
2020/04/03/19:47:11.632246,-0.00175984343196,0.00264935633675,0.000743163864343
2020/04/03/19:47:11.674891,-4.20966505871e-05,-0.00200769575852,1.19440132063e-05
2020/04/03/19:47:11.705996,0.00169014993826,0.000999663471826,-0.000705589677661
2020/04/03/19:47:11.736473,-0.00065612638115,1.13117477902e-05,-9.87511964138e-05
2020/04/03/19:47:11.766994,-0.000824426983979,-0.00162518979908,-4.92328145642e-05
2020/04/03/19:47:11.798871,-2.82582355579e-05,-0.00163891573375,2.30330567909e-10
2020/04/03/19:47:11.829602,0.00184403618282,0.0013660374518,-0.000767051924481
2020/04/03/19:47:11.860434,-0.0018301947847,-0.00099725073486,0.000755107829182
2020/04/03/19:47:11.891067,-0.000182141578632,-0.00200528166255,6.1462217436e-05
