time,.x,.y,.z,.w
2020/04/03/19:47:13.572167,0.00619841070557,0.719163876782,-0.00599034371756,0.69478702767
2020/04/03/19:47:13.602945,0.00619985372628,0.719164436831,-0.00598813170995,0.694786454164
2020/04/03/19:47:13.632723,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:13.672796,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:13.713190,0.00620010675722,0.719163064148,-0.00598766553544,0.694787876768
2020/04/03/19:47:13.744699,0.00620124370095,0.719162932907,-0.00598783055191,0.694788001043
2020/04/03/19:47:13.778012,0.00619872970431,0.719163076018,-0.00598899591474,0.694787865301
2020/04/03/19:47:13.811169,0.0062012307817,0.719164424958,-0.00598680133345,0.694786465629
2020/04/03/19:47:13.841283,0.00620069249151,0.7191644296,-0.00598628129001,0.69478647011
2020/04/03/19:47:13.873459,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:13.903442,0.00620063906401,0.719162365632,-0.00598819176981,0.694788590503
2020/04/03/19:47:13.934281,0.00620154380128,0.71916293032,-0.00598545972186,0.694788021472
2020/04/03/19:47:13.964727,0.00620064843639,0.719163452702,-0.00598818207234,0.694787465296
2020/04/03/19:47:13.994431,0.00620033579568,0.719164947336,-0.00598952404549,0.694785909443
2020/04/03/19:47:14.033575,0.00620011014693,0.719163457343,-0.00598766202815,0.694787469778
2020/04/03/19:47:14.073197,0.0062012307817,0.719164424958,-0.00598680133345,0.694786465629
2020/04/03/19:47:14.123546,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:14.153542,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:14.184193,0.00620069249151,0.7191644296,-0.00598628129001,0.69478647011
2020/04/03/19:47:14.224058,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:14.263717,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:14.316972,0.00619666483359,0.719163487038,-0.00599099056273,0.694787441084
2020/04/03/19:47:14.361144,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:14.392319,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:14.422749,0.00620070842831,0.719163330748,-0.00598730663837,0.694787598538
2020/04/03/19:47:14.452531,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:14.481704,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:14.510933,0.00619926799349,0.719163071378,-0.00598951595922,0.694787860818
2020/04/03/19:47:14.540464,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:14.570364,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:14.621837,0.00619985372628,0.719164436831,-0.00598813170995,0.694786454164
2020/04/03/19:47:14.653153,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:14.682928,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:14.713558,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:14.743621,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:14.772985,0.00619863418787,0.719162654703,-0.00598931098663,0.694788299534
2020/04/03/19:47:14.801850,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:14.831108,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:14.881372,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:14.911895,0.00620069588199,0.719164822794,-0.00598627778304,0.694786063119
2020/04/03/19:47:14.943305,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:14.974644,0.00620070842831,0.719163330748,-0.00598730663837,0.694787598538
2020/04/03/19:47:15.005387,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:15.056326,0.0062007050378,0.719162937552,-0.00598731014593,0.694788005528
2020/04/03/19:47:15.087828,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:15.118224,0.00619872970431,0.719163076018,-0.00598899591474,0.694787865301
2020/04/03/19:47:15.152256,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:15.182566,0.00619872372378,0.719162382143,-0.00598900210545,0.694788583519
2020/04/03/19:47:15.213677,0.00619926201244,0.719162377504,-0.00598952215047,0.694788579036
2020/04/03/19:47:15.245568,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:15.287873,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:15.338286,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:15.367960,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:15.417764,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:15.447109,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:15.477224,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:15.506618,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:15.535975,0.00619787241579,0.719163881422,-0.0059898236737,0.694787032153
2020/04/03/19:47:15.564583,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:15.595431,0.00619841409435,0.719164269977,-0.00599034020869,0.694786620679
2020/04/03/19:47:15.627745,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:15.658821,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:15.708659,0.00605645143481,0.719210099494,-0.00601929297166,0.694740181862
2020/04/03/19:47:15.738050,0.00602446054776,0.719302755899,-0.00600302274615,0.694644668121
2020/04/03/19:47:15.767548,0.00597412316489,0.719423174321,-0.0059265831949,0.694521044831
2020/04/03/19:47:15.810051,0.00588887674916,0.719599692496,-0.00583796324419,0.694339630063
2020/04/03/19:47:15.840728,0.0058289459286,0.719747198438,-0.00576680380448,0.694187825955
2020/04/03/19:47:15.892895,0.0057457416986,0.719965526581,-0.00566005662303,0.693962960645
2020/04/03/19:47:15.924412,0.00567408912219,0.720103761338,-0.00559519144135,0.693820633487
2020/04/03/19:47:15.954232,0.00563385011213,0.720221368604,-0.00552094196684,0.693699473215
2020/04/03/19:47:15.984601,0.00557053766823,0.720354352918,-0.00546238906723,0.693562353107
2020/04/03/19:47:16.013863,0.00549708909533,0.720485430457,-0.00540222018726,0.69342724386
2020/04/03/19:47:16.065958,0.0054106069454,0.720683397725,-0.00530523962954,0.693222922304
2020/04/03/19:47:16.095037,0.00534768852921,0.720798286356,-0.00525974804321,0.693104297825
2020/04/03/19:47:16.125761,0.00527506610372,0.72092526776,-0.00522202898685,0.692973060369
2020/04/03/19:47:16.156259,0.0052033644021,0.72105527086,-0.00517116240939,0.692838711709
2020/04/03/19:47:16.185866,0.00513249139438,0.721183441589,-0.00514045804391,0.692706053677
2020/04/03/19:47:16.236281,0.00504438471222,0.72137111429,-0.00504699508054,0.692511947545
2020/04/03/19:47:16.266954,0.00500788647448,0.721477740552,-0.00498637449634,0.692401564867
2020/04/03/19:47:16.296086,0.0049353568146,0.721601780355,-0.00494842272527,0.692273086256
2020/04/03/19:47:16.347665,0.00484617764815,0.721779912265,-0.0048776241428,0.692088492604
2020/04/03/19:47:16.379979,0.00480365896584,0.721894027615,-0.00480915834027,0.691970237619
2020/04/03/19:47:16.410383,0.00474109671185,0.722008736217,-0.00476861150138,0.691851260874
2020/04/03/19:47:16.441896,0.00468762583484,0.722105354126,-0.00473660302334,0.69175100166
2020/04/03/19:47:16.474056,0.00461277771484,0.722212653919,-0.00470179517842,0.69163971685
2020/04/03/19:47:16.503271,0.00455891183074,0.722320981304,-0.0046712536979,0.691527147464
2020/04/03/19:47:16.533068,0.00450169998816,0.722428967573,-0.00462070338102,0.691415049452
2020/04/03/19:47:16.562252,0.00447657312253,0.722521081438,-0.00456239261905,0.691319341364
2020/04/03/19:47:16.591878,0.00444014208054,0.722600382693,-0.00453249083899,0.691236883129
2020/04/03/19:47:16.622102,0.0043957167163,0.722702873833,-0.00447713370646,0.691130370553
2020/04/03/19:47:16.653703,0.00433738310611,0.722791974174,-0.00445880046846,0.691037675005
2020/04/03/19:47:16.683915,0.00430347867617,0.722893393877,-0.00440138988797,0.690932159425
2020/04/03/19:47:16.715137,0.00425258204767,0.722993950491,-0.00435056620268,0.690827573041
2020/04/03/19:47:16.744787,0.00421567236442,0.723098960003,-0.00430311101493,0.69071818087
2020/04/03/19:47:16.784170,0.00414207996194,0.723203056268,-0.00428761455205,0.690609729833
2020/04/03/19:47:16.826845,0.00405420440726,0.723348534019,-0.0042696162341,0.690457987235
2020/04/03/19:47:16.857583,0.00401759997713,0.72345361947,-0.00421803099271,0.690348410283
2020/04/03/19:47:16.886410,0.00396430017538,0.723555879354,-0.00418850630678,0.690241718669
2020/04/03/19:47:16.915946,0.00394137014123,0.723658075884,-0.00413670544757,0.690135017571
2020/04/03/19:47:16.946039,0.0038907881477,0.723749489929,-0.00410757323524,0.690039611499
2020/04/03/19:47:16.974705,0.00385811132738,0.723826204962,-0.00407986543887,0.689959487713
2020/04/03/19:47:17.004046,0.00380105520853,0.723928327181,-0.00406278096087,0.689852754503
2020/04/03/19:47:17.033152,0.00376049544679,0.724028520338,-0.00401740357117,0.689748085086
