time,.data
2020/04/03/19:47:16.406782,"(36.41815185546875, -18.4814453125, 14.66064453125)"
2020/04/03/19:47:16.505473,"(36.70806884765625, -18.829345703125, 14.64385986328125)"
2020/04/03/19:47:16.605194,"(36.97052001953125, -18.658447265625, 14.94903564453125)"
2020/04/03/19:47:16.706071,"(37.188720703125, -18.505859375, 15.8905029296875)"
2020/04/03/19:47:16.810297,"(36.7431640625, -18.13201904296875, 14.00909423828125)"
2020/04/03/19:47:16.907823,"(36.7431640625, -18.13201904296875, 14.00909423828125)"
2020/04/03/19:47:17.008652,"(36.126708984375, -18.13201904296875, 14.6759033203125)"
2020/04/03/19:47:17.112278,"(36.7034912109375, -18.4844970703125, 14.6453857421875)"
2020/04/03/19:47:17.210678,"(37.5244140625, -18.84765625, 15.2374267578125)"
2020/04/03/19:47:17.311732,"(37.2100830078125, -18.3349609375, 15.57159423828125)"
2020/04/03/19:47:17.412062,"(37.188720703125, -18.505859375, 15.8905029296875)"
2020/04/03/19:47:17.506068,"(37.2528076171875, -18.32733154296875, 14.935302734375)"
2020/04/03/19:47:17.604299,"(36.883544921875, -18.6737060546875, 16.22314453125)"
2020/04/03/19:47:17.704014,"(37.45574951171875, -18.68133544921875, 16.1956787109375)"
2020/04/03/19:47:17.803979,"(37.1612548828125, -17.9962158203125, 16.20941162109375)"
2020/04/03/19:47:17.898531,"(36.3250732421875, -18.15032958984375, 15.93475341796875)"
2020/04/03/19:47:17.997018,"(37.16888427734375, -18.6767578125, 16.20941162109375)"
2020/04/03/19:47:18.096217,"(37.5152587890625, -18.15643310546875, 15.240478515625)"
2020/04/03/19:47:18.196896,"(36.94610595703125, -18.49517822265625, 15.2679443359375)"
2020/04/03/19:47:18.290394,"(36.92626953125, -18.6676025390625, 15.58685302734375)"
2020/04/03/19:47:18.389013,"(37.23297119140625, -18.499755859375, 15.25421142578125)"
2020/04/03/19:47:18.488887,"(37.4725341796875, -18.1640625, 15.87677001953125)"
2020/04/03/19:47:18.590271,"(37.42828369140625, -18.17169189453125, 16.51458740234375)"
2020/04/03/19:47:18.685109,"(37.1856689453125, -18.15948486328125, 15.8905029296875)"
2020/04/03/19:47:18.782332,"(38.092041015625, -18.51043701171875, 15.2099609375)"
2020/04/03/19:47:18.881943,"(37.42523193359375, -17.83599853515625, 16.51458740234375)"
2020/04/03/19:47:18.985142,"(36.6973876953125, -17.80242919921875, 14.64691162109375)"
2020/04/03/19:47:19.084050,"(37.6708984375, -18.182373046875, 17.13714599609375)"
