time,.x,.y,.z
2020/04/03/19:47:08.364395,0.838095292459,-0.0144502265976,1.68473131036
2020/04/03/19:47:08.416233,0.838095292459,-0.0144502265976,1.68473131036
2020/04/03/19:47:08.447110,0.838096638814,-0.014450251841,1.68473055969
2020/04/03/19:47:08.477987,0.838095292424,-0.014450228627,1.68473131036
2020/04/03/19:47:08.507313,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:08.536297,0.838096638848,-0.0144502498116,1.68473055969
2020/04/03/19:47:08.565898,0.838096680534,-0.0144488425642,1.68473118602
2020/04/03/19:47:08.597390,0.838096654934,-0.0144502513621,1.68473113888
2020/04/03/19:47:08.627878,0.838095296429,-0.0144500724175,1.6847313575
2020/04/03/19:47:08.658539,0.83809589882,-0.0144502370523,1.68473262894
2020/04/03/19:47:08.690026,0.838095914905,-0.0144502386027,1.68473320812
2020/04/03/19:47:08.719740,0.838095924421,-0.0144488282528,1.68473267608
2020/04/03/19:47:08.769942,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:08.800471,0.838095330175,-0.0144489735296,1.68473188954
2020/04/03/19:47:08.831524,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:08.862003,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:08.892694,0.838096664449,-0.014448841011,1.68473060684
2020/04/03/19:47:08.945398,0.838096676565,-0.0144489967416,1.68473113888
2020/04/03/19:47:08.975159,0.83809457406,-0.0144489592209,1.6847333796
2020/04/03/19:47:09.005662,0.838096664449,-0.014448841011,1.68473060684
2020/04/03/19:47:09.038065,0.838094572482,-0.0144500612112,1.68473400592
2020/04/03/19:47:09.068336,0.838095292459,-0.0144502265976,1.68473131036
2020/04/03/19:47:09.097848,0.838095292459,-0.0144502265976,1.68473131036
2020/04/03/19:47:09.147480,0.838096654934,-0.0144502513621,1.68473113888
2020/04/03/19:47:09.177193,0.838095330175,-0.0144489735296,1.68473188954
2020/04/03/19:47:09.207245,0.83809531409,-0.0144489719791,1.68473131036
2020/04/03/19:47:09.257402,0.838096642818,-0.0144500956315,1.68473060684
2020/04/03/19:47:09.287329,0.838095296429,-0.0144500724175,1.6847313575
2020/04/03/19:47:09.317688,0.838096638848,-0.0144502498116,1.68473055969
2020/04/03/19:47:09.349375,0.838095334144,-0.0144488193521,1.68473193668
2020/04/03/19:47:09.381361,0.83809531806,-0.014448817799,1.6847313575
2020/04/03/19:47:09.431363,0.838095334144,-0.0144488193521,1.68473193668
2020/04/03/19:47:09.463054,0.838094552429,-0.0144502138382,1.6847333796
2020/04/03/19:47:09.494214,0.838096664449,-0.014448841011,1.68473060684
2020/04/03/19:47:09.545469,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:09.576061,0.838096676565,-0.0144489967416,1.68473113888
2020/04/03/19:47:09.606352,0.838096638848,-0.0144502498116,1.68473055969
2020/04/03/19:47:09.636426,0.83809589882,-0.0144502370523,1.68473262894
2020/04/03/19:47:09.666193,0.83809531409,-0.0144489719791,1.68473131036
2020/04/03/19:47:09.716728,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:09.746483,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:09.778060,0.838094552429,-0.0144502138382,1.6847333796
2020/04/03/19:47:09.809829,0.83809589882,-0.0144502370523,1.68473262894
2020/04/03/19:47:09.839577,0.838095936535,-0.0144489839833,1.68473320812
2020/04/03/19:47:09.890880,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:09.922582,0.83809531806,-0.014448817799,1.6847313575
2020/04/03/19:47:09.951341,0.83809590279,-0.0144500828721,1.68473267608
2020/04/03/19:47:09.980283,0.838096628089,-0.0144502508073,1.68473017357
2020/04/03/19:47:10.010223,0.838094574025,-0.0144489612502,1.6847333796
